0,1,2,3,4,5,6,7,8,9,10
Athens Research,Jeff Tang,"I started Athens after interviewing at Roam in March of 2020. I believed knowledge graphs and bidirectional links were going to change the way we use computers and the internet. But I got rejected because I didn't have Clojure experience.

I still wanted to work on this technology I loved. I believed everyone else should also have that right — to extend and own their second brains.

Open Source was the only option.

Now, I have no doubt OSS will lead to the best product, platform, and community.",,,,,,,,
Entelexo Biotherapeutics,MILAD RIAZIFAR,"Dr. Riazifar has worked on stem cells over a decade and on exosomes a subclass of stem cell derived extracellular vesicles since 2012. During his Ph.D studies at the Stem Cell Research Center at the University of California Irvine, he pioneered a cell-free exosome-based approach to treat Multiple Sclerosis. At City of Hope, he was part of a clinical translation team initiating the world’s first clinical trial using stem cell exosomes for the treatment of type I diabetes.",Todd Schurr,"Multidisciplinary engineer with diverse experience in cellular biology, electrical engineering, automotive, and more. To quote Einstein, I am ""passionately curious"" about just about everything.",Cameron Taylor,"MSE in Biomedical Engineering from University of Michigan, Class of 2018
Co-Founder and CTO at Entelexo Biotherapeutics.",,,,
Morada Uno,Ines Gamboa Sorensen,"Leading product and tech for Morada Uno. I've spent the past few years working for fintech and proptech startups in Brazil, excited to be building something for my home country Mexico.",Diego Llano,"I have a big passion and broad experience in Real Estate; went from construction resident, to investment manager, to proptech founder.",Santiago Morales,,,,,
Z1,Thiago Achatz,"Thiago is co-founder and COO of Z1. Before that, he was part of the founding teams of Rappi (YCW16) and Grow (Grin YCS18 + Yellow), helping build the digital wallet at Grow.",Mateus Craveiro,"Mateus Craveiro is CTO and co-founder at Z1, a digital bank for teenagers in Latam.
Prior to Z1, Mateus was a Principal Software Engineer at Pagar.me (Stripe in Brazil), which was later acquired by StoneCo.",Sophie Secaf,"Sophie Secaf is a creative strategist, consultant, and cultural researcher. Before founding Z1, Sophie worked as a political researcher in São Paulo and lead YONE, a branding company based in NYC. Secaf specializes in socio-cultural research, consumer insights and brand strategy. She is particularly interested in subcultures and consumer behavior. She is also the co-founder of YAGA festival, a festival focused in the international exchange of global subcultures and queer perspectives.",Joao Pedro Thompson,"João Pedro is a co-founder and CEO at Z1. Before Z1, he co-founded Vereda, an education startup focused on providing high-quality K12 education at affordable prices for the Brazilian middle-class. He started his career in investment banking at Itau BBA and also worked in the finance department at Kraft Heinz, where he headed LatAm treasury.",,
Haystack,Julian Colina,"Helping build performant, happy software teams as the CEO & Cofounder of Haystack.
-----
Entrepreneur - CEO - Advisor - Technical Executive - Software Engineer",Kan Yilmaz,You can learn more about me from https://thellimist.com/,,,,,,
Mendel,Alan Karpovsky,"Born and raised in Buenos Aires, married, no kids (yet), 1 dog. I'm 30 years old, Software Engineer that doesn’t code. Last year I sold my first company, Herolens, a SaaS creative management platform to Innovid. I was awarded by the Forbes Magazine for the “30 Under 30” Class of 2019 and distinguished by the Bureau of Educational and Cultural Affairs of the U.S. Department of State from over 4000 young professionals from all Latin America.",Alejandro Zecler,"I'm 31 years old, Industrial Engineer. In 2020 I sold my first company, Zetech (acquired by Visma), a SaaS document management solutions in LATAM. Lover for new technologies, excels at building very strong partner/customer relations.",,,,,,
Preki,Alex Hakim,Co-Founder and CCO at Preki.,Tahi Hakim,Co-Founder and CFO of Preki.,David Narvaez,Co-founder & CTO @ Preki,Pedro Virgüez,Co-Founder & CEO at Preki.,,
Ontop,Jaime Abella,"Co-founder at OnTop (ontop.ai)

Bachelor of Software Engineering",Santiago Aparicio,"Serial Entrepreneur 
Published Penguin Random House author
Sales passionate
Fitness enthusiast",Julian Torres,"Co-founder at OnTop (ontop.ai).

Co-founder at Fitpal (www.fitpal.co) 

Best selling author of La Estupidez Colectiva. Published by Penguin Random House (2019) www.laestupidezcolectiva.com

Forbes Contributor

Entrepreneur in Residence at InQlab (www.inqlab.co), a venture builder and startup incubator.

Founder of 6 startups in Colombia.

Bachelor’s degree in Business from Universidad de los Andes. Fluent in Spanish and English. Basic knowledge of Mandarin.",,,,
Stayflexi,Venkatesh Sakamuri,"Venkat is Co-Founder and CEO of Stayflexi Inc. Invented flexible slot based booking model for rental industry. Architected and developed the core Stayflexi Platform. Venkat previously worked at Oracle in Core database development group, SQL engine team. He is a computer science major from Carnegie Mellon University.

Venkat loves coffee, he learnt how to make a perfect cup from the scratch, right from grinding beans to proper latte (sometimes latte art), he does things this way.",Preetam Mohan Shetty,"Preetam Shetty is the CTO and Co Founder at Stayflexi. He co-invented the flexible slot based booking model for the rental industry. Architected and developed the core Stayflexi Platform. 

Preetam previously worked for Oracle and was part of the engineering team responsible for building the NoSQL database service in Oracle cloud. He earned his masters degree in Computer Science at Cornell University.",Krishna Sasank Talasila,"Krishna Sasank Talasila is the Co-Founder and Chief Information Officer at Stayflexi. Leads the UI/UX development, Cloud Infrastructure and Operations. Coinvented the time-based flexible inventory booking model to revolutionize the hospitality industry.

Krishna holds a graduate degree in computer science from Cornell University.",,,,
Pyroscope,Dmitry Filimonov,"Co-founder of Pyroscope, open source continuous profiling platform. Previously Engineering Team Lead at Sensor Tower.",Ryan Perry,"Co-founder of Pyroscope, open source continuous profiling platform. Previously worked at Sensor Tower and Lion Studios (Applovin) in Software engineering, PM, and Data Engineering roles",,,,,,
Moxion Power Co.,Alexander Meek,"Experienced operator and successful entrepreneur with a background in founding, advising, and building companies involved in a variety of industries, including FinTech, Consumer Goods, Media, and Finance. Prior to co-founding Moxion Power, he spent 4 years building an impact investing asset management company called Newday Impact, which he co-founded in 2015. Alex has an MBA with a concentration in entrepreneurship from Babson College, and a BA from St. Lawrence University.",Paul Huelskamp,,,,,,,
Compose.ai,Wilson Mitchell,"Ex-Amazon, Ex-Coursebase, Living in Japan the last 3+ years and running a Meetup there, Transitioning to a more nomadic lifestyle",Landon Sanford,"Builder, 2x founder, ex-Google, optimist",Michael Shuffett,"Moved to SF to run Quant Collective
Made [Minority Report](https://www.nytimes.com/2011/10/11/science/11predict.html) for US Gov 
Was on highest impact team at Amazon ($6B rev lift in one summer)
Was an Imagineer
Expert consultant to BCG

I can help with data, AI, KPIs, data driven culture, engineering, creating value with applied math

Fun facts:
I have 7 college degrees
2nd degree black belt
I was also banned from talking about the simulation argument in my apartment hot tub",,,,
Manara,Iliana Montauk,"Iliana's passion is untapping human potential. She previously bootstrapped the launch of the first startup accelerator in Gaza - literally during a war. While there, she increased women's participation in pipeline activities from 25% to 49% and ran the largest crowdfunding campaign in the Arab region. She has worked as a senior product manager managing talent at the largest talent marketplace in the world (Upwork) and at Google. She speaks 5 languages and is always trying to make better hummus.",Laila K.,,,,,,,
Venu (Wvrld Studios Inc.),Fanny Chen,Artist and designer for Venu.,Justin Chen,"Software, Infrastructure engineer for Venu.",Nanette Jackson,"Currently, I am the COO of Wvrld Studios Inc., whose objective is to bring people together in Virtual Reality (VR). Our exciting new VR application is VENU, allowing events professionals to host B2B or B2C trade shows, expositions, conferences, or events online in 3-D from Windows, Mac, or VR headset.",Jeremy Lam,"CEO of Venu. Create virtual conference experiences like never before with networking, expo, and presentations in immersive 3D.",Patrick Nguyen,"Software developer, technical and multiplatform support for Venu."
Biodock,Michael Lee,"Hi! I'm Michael Lee, originally from Manhasset, NY. Previously, I was a deep learning researcher at the Nolan Laboratory and CS BS at Stanford University. At Biodock, I work on product and technical development. Outside of Biodock, I'm interested most in AI, optimization, and behavioral economics.",Nurlybek Mursaliyev,"I have a Ph.D. in Cell and Molecular Biology from the Stanford University Department of Biology. My research focus was on stem cell biology and embryo development. I have experienced firsthand the problem we are solving with Biodock while doing my Ph.D. Previously, I also co-founded a med-tech company SmartLens but decided to focus on my Ph.D. I am also a history nerd and love visiting historical places.",,,,,,
